	Topic	Set	Count
0	acq	TRAIN	1650
1	acq	TEST	719
2	acq	NOT-USED	79
3	acq	USABLE	2369
4	alum	TRAIN	35
5	alum	TEST	23
6	alum	NOT-USED	5
7	alum	USABLE	58
8	austdlr	TRAIN	4
9	austdlr	TEST	0
10	austdlr	NOT-USED	0
11	austdlr	USABLE	4
12	austral	TRAIN	0
13	austral	TEST	0
14	austral	NOT-USED	0
15	austral	USABLE	0
16	barley	TRAIN	37
17	barley	TEST	14
18	barley	NOT-USED	3
19	barley	USABLE	51
20	bfr	TRAIN	0
21	bfr	TEST	0
22	bfr	NOT-USED	1
23	bfr	USABLE	0
24	bop	TRAIN	75
25	bop	TEST	30
26	bop	NOT-USED	11
27	bop	USABLE	105
28	can	TRAIN	3
29	can	TEST	0
30	can	NOT-USED	0
31	can	USABLE	3
32	carcass	TRAIN	50
33	carcass	TEST	18
34	carcass	NOT-USED	7
35	carcass	USABLE	68
36	castor-meal	TRAIN	0
37	castor-meal	TEST	0
38	castor-meal	NOT-USED	0
39	castor-meal	USABLE	0
40	castor-oil	TRAIN	1
41	castor-oil	TEST	1
42	castor-oil	NOT-USED	0
43	castor-oil	USABLE	2
44	castorseed	TRAIN	1
45	castorseed	TEST	0
46	castorseed	NOT-USED	0
47	castorseed	USABLE	1
48	citruspulp	TRAIN	1
49	citruspulp	TEST	0
50	citruspulp	NOT-USED	0
51	citruspulp	USABLE	1
52	cocoa	TRAIN	55
53	cocoa	TEST	18
54	cocoa	NOT-USED	3
55	cocoa	USABLE	73
56	coconut	TRAIN	4
57	coconut	TEST	2
58	coconut	NOT-USED	0
59	coconut	USABLE	6
60	coconut-oil	TRAIN	4
61	coconut-oil	TEST	3
62	coconut-oil	NOT-USED	0
63	coconut-oil	USABLE	7
64	coffee	TRAIN	111
65	coffee	TEST	28
66	coffee	NOT-USED	6
67	coffee	USABLE	139
68	copper	TRAIN	47
69	copper	TEST	18
70	copper	NOT-USED	13
71	copper	USABLE	65
72	copra-cake	TRAIN	2
73	copra-cake	TEST	1
74	copra-cake	NOT-USED	0
75	copra-cake	USABLE	3
76	corn	TRAIN	183
77	corn	TEST	56
78	corn	NOT-USED	15
79	corn	USABLE	239
80	corn-oil	TRAIN	1
81	corn-oil	TEST	0
82	corn-oil	NOT-USED	0
83	corn-oil	USABLE	1
84	cornglutenfeed	TRAIN	2
85	cornglutenfeed	TEST	0
86	cornglutenfeed	NOT-USED	0
87	cornglutenfeed	USABLE	2
88	cotton	TRAIN	39
89	cotton	TEST	20
90	cotton	NOT-USED	4
91	cotton	USABLE	59
92	cotton-meal	TRAIN	0
93	cotton-meal	TEST	0
94	cotton-meal	NOT-USED	0
95	cotton-meal	USABLE	0
96	cotton-oil	TRAIN	1
97	cotton-oil	TEST	2
98	cotton-oil	NOT-USED	0
99	cotton-oil	USABLE	3
100	cottonseed	TRAIN	0
101	cottonseed	TEST	1
102	cottonseed	NOT-USED	0
103	cottonseed	USABLE	1
104	cpi	TRAIN	69
105	cpi	TEST	28
106	cpi	NOT-USED	15
107	cpi	USABLE	97
108	cpu	TRAIN	3
109	cpu	TEST	1
110	cpu	NOT-USED	0
111	cpu	USABLE	4
112	crude	TRAIN	391
113	crude	TEST	189
114	crude	NOT-USED	54
115	crude	USABLE	580
116	cruzado	TRAIN	1
117	cruzado	TEST	0
118	cruzado	NOT-USED	0
119	cruzado	USABLE	1
120	dfl	TRAIN	2
121	dfl	TEST	1
122	dfl	NOT-USED	0
123	dfl	USABLE	3
124	dkr	TRAIN	1
125	dkr	TEST	0
126	dkr	NOT-USED	0
127	dkr	USABLE	1
128	dlr	TRAIN	131
129	dlr	TEST	44
130	dlr	NOT-USED	42
131	dlr	USABLE	175
132	dmk	TRAIN	10
133	dmk	TEST	4
134	dmk	NOT-USED	1
135	dmk	USABLE	14
136	drachma	TRAIN	0
137	drachma	TEST	0
138	drachma	NOT-USED	0
139	drachma	USABLE	0
140	earn	TRAIN	2877
141	earn	TEST	1088
142	earn	NOT-USED	22
143	earn	USABLE	3965
144	escudo	TRAIN	0
145	escudo	TEST	0
146	escudo	NOT-USED	0
147	escudo	USABLE	0
148	f-cattle	TRAIN	0
149	f-cattle	TEST	1
150	f-cattle	NOT-USED	2
151	f-cattle	USABLE	1
152	ffr	TRAIN	0
153	ffr	TEST	0
154	ffr	NOT-USED	0
155	ffr	USABLE	0
156	fishmeal	TRAIN	2
157	fishmeal	TEST	0
158	fishmeal	NOT-USED	0
159	fishmeal	USABLE	2
160	flaxseed	TRAIN	0
161	flaxseed	TEST	0
162	flaxseed	NOT-USED	0
163	flaxseed	USABLE	0
164	fuel	TRAIN	13
165	fuel	TEST	10
166	fuel	NOT-USED	5
